ID,角数,名称,攻击,特攻,防御,特防,速度,体力,总和,系列
40646,5,火之狂野,50,0,35,35,20,80,220,精灵王
40647,5,海之浩瀚,0,50,24,24,27,95,220,精灵王
40648,5,光之辉煌,0,55,31,31,23,80,220,精灵王
40649,5,风之轻灵,45,0,25,25,35,90,220,精灵王
40650,5,冰之严寒,55,0,24,24,22,95,220,精灵王
40651,5,龙之狂猛,0,35,35,35,25,90,220,精灵王
40652,5,秘之无踪,0,50,21,21,28,100,220,精灵王
40653,5,空之轨迹,55,0,31,31,18,85,220,精灵王
40693,5,钢之狂威,0,50,25,25,30,90,220,精灵王
40694,5,钢之不摧,0,40,35,35,25,90,225,精灵王
40695,5,钢之云霄,0,50,25,25,35,85,220,精灵王
40747,5,雷之霆威,53,0,28,28,35,93,237,精灵王
40748,5,战之圣勇,60,0,28,28,28,93,237,精灵王
40749,5,瞳之炽烈,0,60,28,28,33,88,237,精灵王
40750,5,夜之永恒,48,0,28,30,38,93,237,精灵王
40751,5,地之无尽,43,0,35,33,28,98,237,精灵王
40752,5,难之皇怒,45,0,25,25,30,95,220,大暗黑天
40753,5,命之无常,50,0,27,27,30,86,220,大暗黑天
40754,5,违之梦魇,0,55,25,25,35,80,220,大暗黑天
40755,5,世之戾决,45,0,30,30,20,95,220,大暗黑天
40756,5,道之邪锋,0,55,25,25,25,90,220,大暗黑天
40757,5,圣·虚无,55,0,25,25,35,90,230,圣能
40758,5,圣·元素,55,0,30,30,30,85,230,圣能
40759,5,圣·能量,0,50,25,25,35,95,230,圣能
40760,5,圣·生命,45,0,30,30,30,95,230,圣能
40761,5,圣·轮回,0,40,35,35,30,90,230,圣能
40762,5,圣·永恒,0,55,30,30,25,90,230,圣能
40763,5,圣·圣洁,0,55,25,25,30,95,230,圣能
40770,5,重生之翼专属全能刻印S,50,0,25,25,25,95,220,专属刻印
40815,5,天苍玄魂·青龙专属全能刻印,0,50,25,25,20,100,220,专属刻印
40817,5,苍魂之魄,0,35,29,29,22,130,245,神兽之威
40833,5,瀚宇星皇专属全能刻印,50,0,30,30,30,90,230,专属刻印
40840,5,圣尊啸傲·白虎专属全能刻印,55,0,25,25,30,90,225,专属刻印
40843,5,天尊之灵,56,0,34,34,28,93,245,神兽之威
40847,5,万世北溟·玄武专属全能刻印,30,0,35,35,20,100,220,专属刻印
40850,5,圣光灵神专属全能刻印,50,0,25,25,30,95,225,专属刻印
40851,5,魔君索伦森专属全能刻印,0,50,30,30,30,90,230,专属刻印
40854,5,麒麟圣辉,51,0,29,29,33,103,245,神兽之威
40855,5,魔君暗舞,0,56,34,34,28,93,245,星宇灾厄
40856,5,圣灵之章,23,0,40,40,30,100,233,英雄圣殿
40857,5,皇权之印,60,0,30,30,35,80,235,英雄圣殿
40858,5,飞升之翎,53,0,25,25,40,90,233,英雄圣殿
40859,5,圣光麒麟专属全能刻印,45,0,30,30,35,90,230,专属刻印
40861,5,泰坦之力α,45,0,28,28,33,86,220,泰坦
40862,5,泰坦之心α,25,0,43,43,28,81,220,泰坦
40863,5,泰坦之光α,0,25,43,43,28,81,220,泰坦
40864,5,泰坦之魂α,0,45,28,28,33,86,220,泰坦
40866,5,炽羽炎凰·朱雀专属全能刻印,0,50,25,25,30,90,220,专属刻印
40874,5,圣王·萨格罗斯专属全能刻印,50,0,30,30,30,90,230,专属刻印
40877,5,北冥之甲,34,0,45,45,22,99,245,神兽之威
40878,5,炽凰火羽,0,45,34,34,38,93,244,神兽之威
40894,5,凡之净明,45,0,30,30,33,85,223,精灵王
40910,2,衡·生机,0,0,55,0,0,110,165,衡山路
40911,2,衡·幻梦,0,75,0,65,0,0,140,衡山路
40913,2,衡·生灵,0,0,0,55,0,110,165,衡山路
40914,2,衡·巡游,75,0,65,0,0,0,140,衡山路
40916,2,衡·巨刃,55,0,0,0,0,110,165,衡山路
40917,2,衡·飓风,0,0,0,0,30,110,140,衡山路
40919,2,衡·聚魂,0,55,0,0,0,110,165,衡山路
40920,2,衡·守望,0,0,70,70,0,0,140,衡山路
40988,5,混沌魔君索伦森专属全能刻印,0,50,32,32,32,95,241,专属刻印
40997,2,衡·疾袭,77,0,0,0,31,0,108,衡山路
40998,2,衡·迅箭,0,77,0,0,31,0,108,衡山路
40999,2,衡·突围,0,0,73,0,32,0,105,衡山路
41000,2,衡·破咒,0,0,0,73,32,0,105,衡山路
41001,5,圣灵罪罚,50,0,35,35,35,80,235,圣
41002,5,圣芒闪空,35,0,35,35,40,90,235,圣
41003,5,圣威灵光,0,60,30,30,35,80,235,圣
41004,5,圣光普照,0,23,40,40,30,100,233,圣
41040,5,混沌诅咒,0,50,35,35,35,80,235,混沌
